iso_a3,country,data_source,sector,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ROU,Romania,CAIT,Total including LUCF,All GHG,MtCO₂e,245.92,203.46,182.02,170.57,167.11,172.66,175.94,163.31,145.8,130.19,134.81,138.07,134.98,140.81,137.89,136.3,137.74,133.95,131.91,115.28,112.18,-165.52,-168.24,-177.81,-178.71,-177.03,82.96,85.69,86.13
OMN,Oman,CAIT,Total including LUCF,All GHG,MtCO₂e,14.79,19.16,18.13,17.47,17.38,19.32,19.7,21.28,21.51,24.85,27.1,29.87,31.51,32.24,32.12,32.53,42.44,46.22,45.55,48.44,52.48,58.73,65.34,68.28,72.07,76.26,77.85,78.51,82.32
AZE,Azerbaijan,CAIT,Total including LUCF,All GHG,MtCO₂e,75.17,84.19,60.44,68.59,62.05,60.01,55.36,55.45,56.29,56.6,58.71,58.8,59.73,57.43,58.72,62.71,65.74,64.4,71.98,72.9,77.18,79.47,80.64,80.18,80.36,79.18,79.97,78.61,78.35
KEN,Kenya,CAIT,Total including LUCF,All GHG,MtCO₂e,34.15,32.92,32.92,32.72,32.98,33.33,32.87,32.9,34.26,36.48,35.5,54.32,55.22,56.18,58.81,59.19,59.65,76.44,77.78,78.2,79.81,75.37,74.73,76.73,79.66,82.31,71.93,69.13,71.21
NZL,New Zealand,CAIT,Total including LUCF,All GHG,MtCO₂e,45.17,44.62,45.48,44.56,46.29,47.55,48.09,50.39,48.89,51.14,51.29,57.05,58.59,61.02,59.66,61.17,61.43,60.14,60.16,57.36,57.14,62.69,64.95,64.53,65.02,64.97,69.8,71.45,70.71
UGA,Uganda,CAIT,Total including LUCF,All GHG,MtCO₂e,34.0,34.55,34.87,35.31,35.06,35.88,36.7,38.19,39.76,39.72,39.64,39.45,40.41,42.31,42.53,44.79,44.25,47.72,54.95,55.99,58.84,59.58,61.57,62.54,64.26,66.07,68.72,69.83,70.71
KHM,Cambodia,CAIT,Total including LUCF,All GHG,MtCO₂e,25.99,25.8,26.45,27.38,26.3,28.47,24.76,26.06,29.56,29.09,27.43,28.04,30.49,33.0,33.89,32.38,35.82,36.76,36.52,38.12,36.96,101.28,99.66,100.1,100.75,103.41,68.73,70.81,69.15
SSD,South Sudan,CAIT,Total including LUCF,All GHG,MtCO₂e,36.66,37.56,40.03,42.06,43.97,44.75,48.88,53.72,59.09,62.44,64.8,59.79,63.54,66.34,68.63,71.98,70.9,74.71,75.66,77.69,76.9,73.36,74.53,70.42,67.66,64.74,68.58,65.83,68.49
AUT,Austria,CAIT,Total including LUCF,All GHG,MtCO₂e,62.79,66.99,61.2,61.12,61.22,63.69,67.41,66.4,66.38,64.56,64.76,76.39,77.69,82.77,83.59,83.63,81.31,78.22,77.79,70.83,76.55,73.72,70.5,71.05,67.28,68.41,68.53,70.71,67.85
PRT,Portugal,CAIT,Total including LUCF,All GHG,MtCO₂e,57.84,59.56,63.58,62.5,64.41,68.18,66.63,68.93,74.08,80.82,80.33,78.72,83.6,78.71,80.6,83.7,78.41,76.99,74.74,73.87,68.6,66.31,64.62,62.92,62.51,66.64,66.81,71.77,67.15
BLR,Belarus,CAIT,Total including LUCF,All GHG,MtCO₂e,104.36,99.3,85.47,72.69,59.65,51.66,52.41,52.84,50.95,48.68,46.09,53.15,52.01,53.02,56.74,57.49,60.66,59.4,63.54,60.67,65.26,70.97,72.6,73.22,72.53,68.08,62.24,63.76,66.68
SGP,Singapore,CAIT,Total including LUCF,All GHG,MtCO₂e,31.56,34.74,37.34,44.23,47.8,49.15,50.59,50.69,49.66,50.61,55.25,54.95,54.07,50.96,52.39,49.68,50.13,51.4,51.7,52.25,55.98,59.05,58.66,59.57,60.78,62.51,63.99,66.0,66.67
PNG,Papua New Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,38.45,39.5,40.5,41.56,42.44,45.96,45.38,59.93,46.37,47.51,48.89,48.81,49.61,49.61,51.05,49.86,49.63,49.46,48.57,48.66,48.67,56.74,57.44,58.62,60.2,62.81,63.56,63.76,64.09
HUN,Hungary,CAIT,Total including LUCF,All GHG,MtCO₂e,90.74,85.72,75.77,76.32,75.97,74.3,76.57,74.9,74.76,75.48,72.67,75.63,73.79,76.67,75.48,74.57,73.8,71.63,70.22,64.37,64.35,62.68,58.81,56.47,56.74,59.67,60.86,62.78,62.81
SRB,Serbia,CAIT,Total including LUCF,All GHG,MtCO₂e,79.12,68.81,63.54,57.78,54.1,60.67,68.16,73.0,72.71,55.38,57.37,26.97,30.25,33.25,38.67,31.83,34.13,33.85,32.5,29.16,28.54,65.63,60.89,61.66,53.76,60.07,64.1,64.42,62.51
IRL,Ireland,CAIT,Total including LUCF,All GHG,MtCO₂e,54.11,54.68,54.89,55.54,57.02,57.85,59.34,60.84,64.24,65.8,68.77,71.35,70.62,70.9,70.13,71.35,72.32,70.69,69.64,64.27,62.91,58.41,60.06,59.14,59.3,61.1,63.08,62.45,62.29
FIN,Finland,CAIT,Total including LUCF,All GHG,MtCO₂e,38.27,38.18,35.07,36.31,42.92,38.94,45.39,43.45,39.81,39.13,37.79,58.93,61.32,69.47,65.56,53.39,64.75,62.92,54.8,51.19,59.29,11.43,5.73,6.47,2.38,-1.07,62.88,60.02,61.43
BWA,Botswana,CAIT,Total including LUCF,All GHG,MtCO₂e,54.94,54.38,54.65,54.33,54.61,55.54,56.98,56.61,56.43,56.5,56.28,58.09,58.44,51.32,51.95,53.35,55.21,53.51,62.3,53.17,63.76,68.83,57.82,57.28,56.09,55.73,54.92,58.79,57.45
MNG,Mongolia,CAIT,Total including LUCF,All GHG,MtCO₂e,34.47,36.71,34.57,33.37,31.6,32.52,31.88,34.06,33.7,33.78,34.91,31.61,29.76,29.5,29.29,31.98,34.9,37.61,37.84,38.88,36.16,38.92,42.31,44.76,47.31,48.92,51.2,53.99,55.72
